2020-04-27 16:20:56,477-doconfini.py:[18]-[INFO]-read excel value [D:\PycharmProjects\xiaozutest] succeed! 
2020-04-27 16:20:56,629-readexcel.py:[19]-[INFO]-reading home_elementsInfo failed 
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 1,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 1,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 2,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 2,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 3,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 3,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 4,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,630-readexcel.py:[28]-[INFO]-read value 5,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 5,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 6,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 6,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 7,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 7,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 8,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 8,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 9,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 9,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 10,2 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 10,3 in sheetName home_elementsInfo succeed
2020-04-27 16:20:56,631-readexcel.py:[28]-[INFO]-read value 11,2 in sheetName home_elementsInfo succeed
